color_avg,sound_avg,catch_avg,difficulty
642,650,678,1
599,570,603,1
571,589,608,1
634,693,666,1
583,573,622,1
569,609,588,1
611,598,626,1
594,563,607,1
652,639,682,1
601,566,594,1
552,551,589,1
610,605,646,1
576,593,569,1
645,657,661,1
561,549,563,1
685,640,666,1
575,611,592,1
601,620,634,1
569,564,583,1
657,643,679,1
420,401,438,2
404,386,429,2
421,402,415,2
459,476,442,2
401,429,423,2
412,417,404,2
398,411,392,2
438,456,440,2
444,421,459,2
407,396,403,2
433,432,445,2
452,409,467,2
429,438,418,2
399,403,396,2
443,439,410,2
421,434,438,2
478,462,440,2
401,405,410,2
460,455,441,2
428,418,432,2
206,212,209,3
233,225,246,3
251,266,260,3
276,290,288,3
228,214,245,3
297,302,294,3
258,231,246,3
235,253,229,3
212,223,231,3
283,277,279,3
220,235,250,3
292,288,294,3
270,275,260,3
229,222,240,3
254,246,251,3
218,210,215,3
284,290,276,3
265,258,268,3
236,248,241,3
275,269,281,3
649,671,635,1
611,599,583,1
637,604,628,1
573,588,556,1
584,603,595,1
616,637,607,1
588,566,600,1
678,685,662,1
604,591,631,1
569,559,548,1
576,582,562,1
621,610,599,1
592,603,621,1
582,559,571,1
624,642,619,1
647,676,662,1
590,573,588,1
599,620,608,1
650,655,639,1
666,671,648,1
406,392,408,2
421,437,423,2
431,410,439,2
454,466,450,2
402,417,408,2
428,423,421,2
419,430,428,2
438,446,431,2
414,400,415,2
452,460,455,2
473,480,463,2
401,398,399,2
437,421,440,2
425,416,427,2
462,453,440,2
414,423,410,2
446,460,449,2
434,429,437,2
453,460,441,2
419,409,425,2
219,236,210,3
289,292,288,3
261,252,268,3
238,243,229,3
223,230,217,3
241,249,252,3
268,274,266,3
279,285,277,3
253,259,265,3
292,289,284,3
276,281,278,3
219,222,226,3
266,259,255,3
244,238,247,3
286,294,291,3
228,230,236,3
248,252,245,3
261,264,260,3
277,281,270,3
291,295,289,3
643,617,654,1
609,582,618,1
572,598,590,1
623,637,651,1
566,571,582,1
611,625,639,1
653,658,649,1
591,583,597,1
564,579,561,1
676,671,665,1
601,608,602,1
594,599,613,1
588,566,585,1
631,648,641,1
579,583,569,1
614,632,628,1
598,589,592,1
603,611,600,1
647,654,669,1
664,673,652,1
406,394,410,2
425,439,423,2
444,459,437,2
412,404,421,2
460,473,462,2
437,421,438,2
449,460,453,2
424,417,429,2
431,442,430,2
478,464,470,2
417,409,416,2
439,430,432,2
401,404,398,2
442,454,446,2
459,462,458,2
406,398,409,2
433,421,426,2
441,450,438,2
473,470,471,2
429,431,424,2
205,214,218,3
238,241,240,3
260,255,263,3
281,276,270,3
229,237,234,3
266,259,272,3
254,250,248,3
278,283,282,3
243,238,247,3
297,290,294,3
270,267,275,3
226,229,220,3
258,264,261,3
284,289,280,3
248,242,250,3
276,271,278,3
265,268,267,3
251,256,249,3
242,240,238,3
292,294,288,3